requestid,createdate,numberofslots,lastmodifiedby,modifieddate,shortdescription,isvirtual,partitionid,workgroup,hostname,attributedatasourcelist,tokenid,reconciliationidentity,datasetid,record_id,versionnumber,model,manufacturername,instanceid,lastrejobrunid,domain,reconciliationmergestatus,serialnumber,item,type,totalphysicalmemory,name,ReconciliationRuleId
000000000000059|000000000000919,1726470802,8,Demo,1726934935,Inventory Management System ,0.0,gbsabcd.mgmt.xyz.com:9013187907:9013119222,perf engineering,8e26e970-145b-4b38-8b70-379e36f84967,,,OI-299109C2771B11EFBC3452F50F8528D8,DATASET1M,OI-fe90b9f9ea6b49f885678d3ae386c8a3|OI-fe90b9f9ea6b49f885678d3ae386c8a3,WC Auto Version,PC1,Manufacturer1,OI-fe90b9f9ea6b49f885678d3ae386c8a3,AGGGZHLSE0V15ASKF8OGSKF8OG1KDI,perf.bmc.com,50,8e26e970-145b-4b38-8b70-379e36f84967,Desktop,Personal Computer,4,PC1 55511622,110
000000000000221|000000000003565,1726652504,8,Demo,1726934935,Maintenance System ,0.0,gbsabcd.mgmt.xyz.com:9013187907:9013119222,perf engineering,13a2c6b6-36ed-4002-b55b-8a1d7869363f,,0,OI-09CB9788771B11EFAC1252F50F8528D8,DATASET1M,OI-9edd42f47fb341eeb4c1f3e2bd0bb87c|OI-9edd42f47fb341eeb4c1f3e2bd0bb87c,WC Auto Version,PC1,Manufacturer1,OI-9edd42f47fb341eeb4c1f3e2bd0bb87c,AGGGZHLSE0V15ASKF8OGSKF8OG1KDI,perf.bmc.com,50,13a2c6b6-36ed-4002-b55b-8a1d7869363f,Desktop,Personal Computer,4,PC1 70952803,110
000000000000051|000000000000754,1726470800,8,Demo,1726934935,Inventory Management System ,0.0,gbsabcd.mgmt.xyz.com:9013187907:9013119222,perf engineering,54559b2f-cb34-4046-85f6-7773eb12af8c,,0,OI-0ACD5EC8771B11EFAC2652F50F8528D8,DATASET1M,OI-a06f97a8ba144ef3aae09f1969a14469|OI-a06f97a8ba144ef3aae09f1969a14469,WC Auto Version,PC1,Manufacturer1,OI-a06f97a8ba144ef3aae09f1969a14469,AGGGZHLSE0V15ASKF8OGSKF8OG1KDI,perf.bmc.com,50,54559b2f-cb34-4046-85f6-7773eb12af8c,Desktop,Personal Computer,4,PC1 12128161,110
000000000000239|000000000003859,1726653061,8,Demo,1726934935,Maintenance System ,0.0,gbsabcd.mgmt.xyz.com:9013187907:9013119222,perf engineering,618bc4d5-6162-4eaf-98f3-ad265811289b,,0,OI-1979E7E8771B11EFB3F952F50F8528D8,DATASET1M,OI-a11d9b6b31f6418e9463c8b7957976f3|OI-a11d9b6b31f6418e9463c8b7957976f3,WC Auto Version,PC1,Manufacturer1,OI-a11d9b6b31f6418e9463c8b7957976f3,AGGGZHLSE0V15ASKF8OGSKF8OG1KDI,perf.bmc.com,50,618bc4d5-6162-4eaf-98f3-ad265811289b,Desktop,Personal Computer,4,PC1 5471073,110
000000000000254|000000000004104,1726653069,8,Demo,1726934935,Maintenance System ,0.0,gbsabcd.mgmt.xyz.com:9013187907:9013119222,perf engineering,2429ad85-5f8d-4453-8f1c-e43889e13b72,,0,OI-19978960771B11EFB40D52F50F8528D8,DATASET1M,OI-ac238a281e0e4da08c37b0f8dd96062c|OI-ac238a281e0e4da08c37b0f8dd96062c,WC Auto Version,Sys1,Manufacturer1,OI-ac238a281e0e4da08c37b0f8dd96062c,AGGGZHLSE0V15ASKF8OGSKF8OG1KDI,perf.bmc.com,50,2429ad85-5f8d-4453-8f1c-e43889e13b72,Unix,Server,4,Sys1 62605755,110
000000000000161|000000000002585,1726475518,8,Demo,1726934935,Inventory Management System ,0.0,gbsabcd.mgmt.xyz.com:9013187907:9013119222,perf engineering,77eef30f-702f-42ba-b096-3b8b79d9f266,,0,OI-198CD218771B11EFB40352F50F8528D8,DATASET1M,OI-a4cca70da06140fb9587b34b0caf3396|OI-a4cca70da06140fb9587b34b0caf3396,WC Auto Version,Sys1,Manufacturer1,OI-a4cca70da06140fb9587b34b0caf3396,AGGGZHLSE0V15ASKF8OGSKF8OG1KDI,perf.bmc.com,50,77eef30f-702f-42ba-b096-3b8b79d9f266,Unix,Server,4,Sys1 2860024,110
000000000001895|000000000030846,1726926702,8,Demo,1726934935,Inventory Management System ,0.0,gbsabcd.mgmt.xyz.com:9013187907:9013119222,perf engineering,fd7461ba-3daf-44e5-a1b8-b8c71097ade4,,,OI-8A053842783211EFA33D52F50F8528D8,DATASET1M,OI-fcc66b9102b64f89b493853a2840188e|OI-fcc66b9102b64f89b493853a2840188e,WC Auto Version,Sys1,Manufacturer1,OI-fcc66b9102b64f89b493853a2840188e,AGGGZHLSE0V15ASKGHA0SKGHA06DI9,perf.bmc.com,50,,Unix,Server,4,Sys1 4580400,130
000000000000033|000000000000432,1726470796,8,Demo,1726934935,Inventory Management System ,0.0,gbsabcd.mgmt.xyz.com:9013187907:9013119222,perf engineering,f5ef3cfb-b8f6-4016-8cc5-31b8cac95de2,,0,OI-F94F31B2771A11EFA3E652F50F8528D8,DATASET1M,OI-079d72ce23fb47d3bdd21db3ea83842c|OI-079d72ce23fb47d3bdd21db3ea83842c,WC Auto Version,Sys1,Manufacturer1,OI-079d72ce23fb47d3bdd21db3ea83842c,AGGGZHLSE0V15ASKF8OGSKF8OG1KDI,perf.bmc.com,50,f5ef3cfb-b8f6-4016-8cc5-31b8cac95de2,Unix,Server,4,Sys1 66129263,110
000000000000078|000000000001175,1726470805,8,Demo,1726934935,Inventory Management System ,0.0,gbsabcd.mgmt.xyz.com:9013187907:9013119222,perf engineering,bba243bd-ad24-481e-b1c1-a709bd17b168,,0,OI-F94EE05E771A11EFA3DA52F50F8528D8,DATASET1M,OI-0a463ea99eb64dad85bb8af7ba51916b|OI-0a463ea99eb64dad85bb8af7ba51916b,WC Auto Version,Sys1,Manufacturer1,OI-0a463ea99eb64dad85bb8af7ba51916b,AGGGZHLSE0V15ASKF8OGSKF8OG1KDI,perf.bmc.com,50,bba243bd-ad24-481e-b1c1-a709bd17b168,Unix,Server,4,Sys1 29805520,110
000000000000050|000000000000755,1726470800,8,Demo,1726934935,Inventory Management System ,0.0,gbsabcd.mgmt.xyz.com:9013187907:9013119222,perf engineering,36142b27-ce78-4ce0-baf2-435976a6249a,,,OI-F94F09A8771A11EFA3DF52F50F8528D8,DATASET1M,OI-00f9119e5bb8491c9a002f6f4e676f92|OI-00f9119e5bb8491c9a002f6f4e676f92,WC Auto Version,Sys1,Manufacturer1,OI-00f9119e5bb8491c9a002f6f4e676f92,AGGGZHLSE0V15ASKF8OGSKF8OG1KDI,perf.bmc.com,50,36142b27-ce78-4ce0-baf2-435976a6249a,Unix,Server,4,Sys1 57293437,110
