requestid,tokenid,reconciliationidentity,versionnumber,serialnumber,manufacturername,workgroup,modifieddate,totalphysicalmemory,createdate,numberofslots,ReconciliationRuleId
000000000000059|000000000000919,,OI-299109C2771B11EFBC3452F50F8528D8,WC Auto Version,8e26e970-145b-4b38-8b70-379e36f84967,Manufacturer1,perf engineering,1726934935,4,1726470802,8,110
000000000000221|000000000003565,0,OI-09CB9788771B11EFAC1252F50F8528D8,WC Auto Version,13a2c6b6-36ed-4002-b55b-8a1d7869363f,Manufacturer1,perf engineering,1726934935,4,1726652504,8,110
000000000000051|000000000000754,0,OI-0ACD5EC8771B11EFAC2652F50F8528D8,WC Auto Version,54559b2f-cb34-4046-85f6-7773eb12af8c,Manufacturer1,perf engineering,1726934935,4,1726470800,8,110
000000000000239|000000000003859,0,OI-1979E7E8771B11EFB3F952F50F8528D8,WC Auto Version,618bc4d5-6162-4eaf-98f3-ad265811289b,Manufacturer1,perf engineering,1726934935,4,1726653061,8,110
000000000000254|000000000004104,0,OI-19978960771B11EFB40D52F50F8528D8,WC Auto Version,2429ad85-5f8d-4453-8f1c-e43889e13b72,Manufacturer1,perf engineering,1726934935,4,1726653069,8,110
000000000000161|000000000002585,0,OI-198CD218771B11EFB40352F50F8528D8,WC Auto Version,77eef30f-702f-42ba-b096-3b8b79d9f266,Manufacturer1,perf engineering,1726934935,4,1726475518,8,110
000000000001895|000000000030846,,OI-8A053842783211EFA33D52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934935,4,1726926702,8,130
000000000000033|000000000000432,0,OI-F94F31B2771A11EFA3E652F50F8528D8,WC Auto Version,f5ef3cfb-b8f6-4016-8cc5-31b8cac95de2,Manufacturer1,perf engineering,1726934935,4,1726470796,8,110
000000000000078|000000000001175,0,OI-F94EE05E771A11EFA3DA52F50F8528D8,WC Auto Version,bba243bd-ad24-481e-b1c1-a709bd17b168,Manufacturer1,perf engineering,1726934935,4,1726470805,8,110
000000000000050|000000000000755,,OI-F94F09A8771A11EFA3DF52F50F8528D8,WC Auto Version,36142b27-ce78-4ce0-baf2-435976a6249a,Manufacturer1,perf engineering,1726934935,4,1726470800,8,110
000000000000131|000000000002091,0,OI-F94F13D0771A11EFA3E052F50F8528D8,WC Auto Version,66a5a320-66d4-45d7-aab9-c43763fb1f43,Manufacturer1,perf engineering,1726934935,4,1726475511,8,110
000000000000143|000000000002291,0,OI-F94EF6D4771A11EFA3DD52F50F8528D8,WC Auto Version,078e8f2b-bd2b-4c04-839a-fc6a9c938d5d,Manufacturer1,perf engineering,1726934935,4,1726475514,8,110
000000000000150|000000000002393,,OI-F94EB94E771A11EFA3D852F50F8528D8,WC Auto Version,08b7be6b-dffa-4734-96f7-0b638ce9b862,Manufacturer1,perf engineering,1726934935,4,1726475516,8,110
000000000000227|000000000003663,0,OI-F94F366C771A11EFA3E852F50F8528D8,WC Auto Version,c90b5d84-4026-43b0-8a2f-4227d0d89b84,Manufacturer1,perf engineering,1726934935,4,1726653056,8,110
000000000000086|000000000001360,0,OI-0927C3D8771B11EFABDF52F50F8528D8,WC Auto Version,76b3d94c-059b-4104-95d0-cba6b38fd363,Manufacturer1,perf engineering,1726934935,4,1726470807,8,110
000000000000248|000000000004006,0,OI-093A6402771B11EFABEC52F50F8528D8,WC Auto Version,764f1b4a-6e44-437e-b17f-105824a5af21,Manufacturer1,perf engineering,1726934935,4,1726653066,8,110
000000000000094|000000000001439,0,OI-F94F1C40771A11EFA3E152F50F8528D8,WC Auto Version,e1cfa4a1-eeb8-400b-9ad1-4a05d3f90b8b,Manufacturer1,perf engineering,1726934935,4,1726470808,8,110
000000000000125|000000000001988,0,OI-093F1114771B11EFABEF52F50F8528D8,WC Auto Version,a9a72623-7e3a-492f-87dc-df318ed84280,Manufacturer1,perf engineering,1726934935,4,1726475511,8,110
000000000000170|000000000002732,0,OI-F94E5D5A771A11EFA3D352F50F8528D8,WC Auto Version,8cd3753c-9895-4a8c-9b1e-b76c0a177134,Manufacturer1,perf engineering,1726934935,4,1726475519,8,110
000000000000746|000000000012119,,OI-BC5180EA77E611EFB85C52F50F8528D8,WC Auto Version,ae8903cc-7a37-4148-9e24-b6535b09bbbd,Manufacturer1,perf engineering,1726934935,4,1726901698,8,110
000000000000158|000000000002536,0,OI-2966987C771B11EFBC1852F50F8528D8,WC Auto Version,73dfbe6f-7408-4863-a169-c24dcc56e22e,Manufacturer1,perf engineering,1726934935,4,1726475517,8,110
000000000000104|000000000001654,0,OI-19FF4F14771B11EFB42F52F50F8528D8,WC Auto Version,c4578546-3904-4823-b404-f85f1dab1bf4,Manufacturer1,perf engineering,1726934935,4,1726475508,8,110
000000000000047|000000000000680,0,OI-298AF79E771B11EFBC2F52F50F8528D8,WC Auto Version,0516418a-40ed-4ed5-bc8c-b222249a3024,Manufacturer1,perf engineering,1726934935,4,1726470800,8,110
000000000000215|000000000003467,0,OI-1A9F1846771B11EFB43D52F50F8528D8,WC Auto Version,3a264d13-3ad9-485c-901e-f5446f443052,Manufacturer1,perf engineering,1726934935,4,1726652502,8,110
000000000000062|000000000000934,0,OI-1ADECC0C771B11EFB44852F50F8528D8,WC Auto Version,4c781928-0626-44f2-a789-7bee919b3ee4,Manufacturer1,perf engineering,1726934935,4,1726470802,8,110
000000000000233|000000000003761,0,OI-19DC6EEA771B11EFB42952F50F8528D8,WC Auto Version,c5fc562a-9620-4823-869a-37dda56d0396,Manufacturer1,perf engineering,1726934935,4,1726653058,8,110
000000000000029|000000000000429,0,OI-1B537FE8771B11EFB45D52F50F8528D8,WC Auto Version,71810a77-6421-4caf-806f-ef0ffdbc28f9,Manufacturer1,perf engineering,1726934935,4,1726470796,8,110
000000000000106|000000000001659,0,OI-19974108771B11EFB40C52F50F8528D8,WC Auto Version,6b8d9881-09ae-485e-9976-a1c7b3b90e60,Manufacturer1,perf engineering,1726934935,4,1726475508,8,110
000000000000191|000000000003075,0,OI-19C1D88C771B11EFB42352F50F8528D8,WC Auto Version,d73935b2-3858-4f24-b9de-386122a4667d,Manufacturer1,perf engineering,1726934935,4,1726476418,8,110
000000000000098|000000000001556,0,OI-19A7C9EC771B11EFB41752F50F8528D8,WC Auto Version,46017f4b-b9fd-4c6c-bddc-dc10aa479a94,Manufacturer1,perf engineering,1726934935,4,1726470808,8,110
000000000000065|000000000000999,0,OI-19CE3CD0771B11EFB42752F50F8528D8,WC Auto Version,6d8e3d1b-cf13-4721-a95b-352a7c907966,Manufacturer1,perf engineering,1726934935,4,1726470802,8,110
000000000000584|000000000009494,,OI-C639244677E611EF905052F50F8528D8,WC Auto Version,1a262849-f9c1-415d-a9bf-fd11fcdaa652,Manufacturer1,perf engineering,1726934935,4,1726901675,8,110
000000000000192|000000000003076,0,OI-09727CAC771B11EFAC0952F50F8528D8,WC Auto Version,6ede2813-e6f7-41e2-af01-dd1590a87ca9,Manufacturer1,perf engineering,1726934935,4,1726476418,8,110
000000000000164|000000000002596,0,OI-097E2B56771B11EFAC0A52F50F8528D8,WC Auto Version,26bbf91b-04f3-4c1c-8ef2-6d04f57af2b0,Manufacturer1,perf engineering,1726934935,4,1726475518,8,110
000000000000089|000000000001409,0,OI-0953D9BE771B11EFABFB52F50F8528D8,WC Auto Version,25f39840-fd65-4586-974c-e4de59b31f1d,Manufacturer1,perf engineering,1726934935,4,1726470808,8,110
000000000000188|000000000003026,0,OI-0954D4EA771B11EFABFD52F50F8528D8,WC Auto Version,ce34e012-51eb-4cc4-8467-ce4da925a690,Manufacturer1,perf engineering,1726934935,4,1726476041,8,110
000000000000209|000000000003369,0,OI-099B3A0C771B11EFAC0E52F50F8528D8,WC Auto Version,218d6116-d13d-434f-ab5a-46f03c704c0b,Manufacturer1,perf engineering,1726934935,4,1726652499,8,110
000000000000149|000000000002389,0,OI-0957A6F2771B11EFABFF52F50F8528D8,WC Auto Version,06a6281e-d84d-4bf6-aca6-7e6586fc1c94,Manufacturer1,perf engineering,1726934935,4,1726475516,8,110
000000000000218|000000000003516,0,OI-098769A0771B11EFAC0D52F50F8528D8,WC Auto Version,71f83a1e-8f5f-41b2-9fe3-a5c8ebf6e1d4,Manufacturer1,perf engineering,1726934935,4,1726652502,8,110
000000000000030|000000000000431,0,OI-F94F27E4771A11EFA3E452F50F8528D8,WC Auto Version,95945cc9-8e2d-4fd5-bbec-edfb34fb5991,Manufacturer1,perf engineering,1726934935,4,1726470796,8,110
000000000000101|000000000001605,0,OI-F94F2FE6771A11EFA3E552F50F8528D8,WC Auto Version,2e756dc9-8716-4352-ae45-dcfb5f9d54c1,Manufacturer1,perf engineering,1726934935,4,1726470810,8,110
000000000000236|000000000003810,0,OI-F94E6584771A11EFA3D452F50F8528D8,WC Auto Version,978fb58d-37db-4abc-bf5b-445c6c48fb28,Manufacturer1,perf engineering,1726934935,4,1726653059,8,110
000000000000647|000000000010522,,OI-B6FE0EA677E611EFB03852F50F8528D8,WC Auto Version,acd40062-3958-4d48-8291-38786fd85a62,Manufacturer1,perf engineering,1726934935,4,1726901684,8,110
000000000000678|000000000011017,,OI-B6FE752677E611EFB03A52F50F8528D8,WC Auto Version,0c293b02-c44e-49b3-884b-29ff7ed8bdf9,Manufacturer1,perf engineering,1726934936,4,1726901689,8,110
000000000000599|000000000009739,,OI-B6FE802A77E611EFB03B52F50F8528D8,WC Auto Version,833d2a85-5133-4d35-913e-889178d76a2b,Manufacturer1,perf engineering,1726934936,4,1726901677,8,110
000000000000257|000000000004153,,OI-09BF8D94771B11EFAC0F52F50F8528D8,WC Auto Version,c1e2c78a-80ef-4b9a-82c8-dca5586381fb,Manufacturer1,perf engineering,1726934935,4,1726748039,8,110
000000000000179|000000000002879,0,OI-0959F042771B11EFAC0152F50F8528D8,WC Auto Version,62fe93e2-374d-4a34-8c04-2b2023075037,Manufacturer1,perf engineering,1726934935,4,1726475879,8,110
000000000000242|000000000003908,0,OI-09468034771B11EFABF452F50F8528D8,WC Auto Version,8b9a9cfe-7390-40ee-a871-6ffdc82ae00b,Manufacturer1,perf engineering,1726934936,4,1726653063,8,110
000000000000212|000000000003418,0,OI-09648DF4771B11EFAC0552F50F8528D8,WC Auto Version,c81018c6-ea43-42db-a5ad-de4490fe989e,Manufacturer1,perf engineering,1726934936,4,1726652500,8,110
000000000000203|000000000003271,0,OI-094BBF18771B11EFABF852F50F8528D8,WC Auto Version,8137d6a0-9750-4d28-97c1-c1bec277879f,Manufacturer1,perf engineering,1726934936,4,1726652497,8,110
000000000000173|000000000002781,0,OI-096790DA771B11EFAC0652F50F8528D8,WC Auto Version,ac18c434-92d2-408e-ae7d-f1490a44a41b,Manufacturer1,perf engineering,1726934936,4,1726475520,8,110
000000000000251|000000000004054,0,OI-094F1370771B11EFABF952F50F8528D8,WC Auto Version,fbd9d700-0d71-41a1-9048-fc564a817bac,Manufacturer1,perf engineering,1726934936,4,1726653066,8,110
000000000000524|000000000008506,,OI-C702286E77E611EF910852F50F8528D8,WC Auto Version,9630e929-3f2a-4bd5-831b-8ba0ef8f2920,Manufacturer1,perf engineering,1726934935,4,1726901667,8,110
000000000000572|000000000009257,,OI-C702EBC877E611EF910A52F50F8528D8,WC Auto Version,055eb9b1-537c-4bb3-b6f3-8c90ba1f384a,Manufacturer1,perf engineering,1726934935,4,1726901673,8,110
000000000000626|000000000010180,,OI-CAE0532077E611EF986952F50F8528D8,WC Auto Version,e7728c64-f963-4d30-9969-9cff6a032579,Manufacturer1,perf engineering,1726934936,4,1726901682,8,110
000000000000759|000000000012337,,OI-CAE1317877E611EF986D52F50F8528D8,WC Auto Version,fa3569c5-76d8-490d-bf4b-bbec83a235af,Manufacturer1,perf engineering,1726934936,4,1726901700,8,110
000000000000536|000000000008710,,OI-C669E70C77E611EF906D52F50F8528D8,WC Auto Version,9660dc21-a0da-4648-ac67-ecdad01cc949,Manufacturer1,perf engineering,1726934936,4,1726901669,8,110
000000000000551|000000000008955,,OI-C6BB37C477E611EF909F52F50F8528D8,WC Auto Version,c99fb602-2c26-463f-ae58-577ecb03a2f8,Manufacturer1,perf engineering,1726934936,4,1726901671,8,110
000000000000635|000000000010327,,OI-C639276677E611EF905152F50F8528D8,WC Auto Version,7a098483-f60c-45a8-8993-89a4ff46a197,Manufacturer1,perf engineering,1726934936,4,1726901683,8,110
000000000000653|000000000010612,,OI-C63B7AD477E611EF905352F50F8528D8,WC Auto Version,04197edf-228e-460c-9333-6e472c3ae93c,Manufacturer1,perf engineering,1726934936,4,1726901685,8,110
000000000000713|000000000011541,,OI-C168217477E611EFBFEB52F50F8528D8,WC Auto Version,a5c2fe66-ad88-4314-b1f4-43022e55bfb0,Manufacturer1,perf engineering,1726934936,4,1726901693,8,110
